文件夹 CSVD001 的像素统计结果：
    类别 1.0: 2396675 像素点
    类别 2.0: 3037193 像素点
    类别 3.0: 1488739 像素点
    类别 5.0: 9265288 像素点
    类别 6.0: 47727 像素点
    类别 7.0: 2467965 像素点
    类别 8.0: 591046 像素点
    类别 9.0: 205733 像素点
    类别 10.0: 8023 像素点
文件夹 DYJK007 的像素统计结果：
    类别 0.0: 25716389 像素点
    类别 1.0: 2637035 像素点
    类别 2.0: 3327920 像素点
    类别 3.0: 1074507 像素点
    类别 5.0: 8715708 像素点
    类别 6.0: 68495 像素点
    类别 7.0: 2174747 像素点
    类别 8.0: 623399 像素点
    类别 9.0: 217243 像素点
    类别 10.0: 9037 像素点
文件夹 DYJK008 的像素统计结果：
    类别 0.0: 24077180 像素点
    类别 1.0: 2456842 像素点
    类别 2.0: 3124150 像素点
    类别 3.0: 1171480 像素点
    类别 5.0: 8357536 像素点
    类别 6.0: 57201 像素点
    类别 7.0: 2027703 像素点
    类别 8.0: 451942 像素点
    类别 9.0: 211242 像素点
    类别 10.0: 7764 像素点
文件夹 DYJK009 的像素统计结果：
    类别 0.0: 26400602 像素点
    类别 1.0: 2330077 像素点
    类别 2.0: 2925956 像素点
    类别 3.0: 1730200 像素点
    类别 5.0: 10189835 像素点
    类别 6.0: 51899 像素点
    类别 7.0: 2546544 像素点
    类别 8.0: 790058 像素点
    类别 9.0: 207337 像素点
    类别 10.0: 13412 像素点
文件夹 DYJK010 的像素统计结果：
    类别 0.0: 26093713 像素点
    类别 1.0: 2109611 像素点
    类别 2.0: 2799892 像素点
    类别 3.0: 1009984 像素点
    类别 5.0: 7517739 像素点
    类别 6.0: 52129 像素点
    类别 7.0: 1877622 像素点
    类别 8.0: 288029 像素点
    类别 9.0: 185745 像素点
    类别 10.0: 8576 像素点
文件夹 DYJK011 的像素统计结果：
    类别 0.0: 26362382 像素点
    类别 1.0: 2083183 像素点
    类别 2.0: 2847884 像素点
    类别 3.0: 1612150 像素点
    类别 5.0: 8711927 像素点
    类别 6.0: 52731 像素点
    类别 7.0: 2383499 像素点
    类别 8.0: 302238 像素点
    类别 9.0: 198938 像素点
    类别 10.0: 9548 像素点
文件夹 DYJK012 的像素统计结果：
    类别 0.0: 25901995 像素点
    类别 1.0: 2501688 像素点
    类别 2.0: 3293152 像素点
    类别 3.0: 1150516 像素点
    类别 5.0: 8677445 像素点
    类别 6.0: 56387 像素点
    类别 7.0: 2433310 像素点
    类别 8.0: 322060 像素点
    类别 9.0: 216109 像素点
    类别 10.0: 11818 像素点
文件夹 DYJK013 的像素统计结果：
    类别 0.0: 27507684 像素点
    类别 1.0: 2393694 像素点
    类别 2.0: 3030721 像素点
    类别 3.0: 1274210 像素点
    类别 5.0: 7818148 像素点
    类别 6.0: 68998 像素点
    类别 7.0: 1860640 像素点
    类别 8.0: 416789 像素点
    类别 9.0: 184498 像素点
    类别 10.0: 9098 像素点
文件夹 DYJK014 的像素统计结果：
    类别 0.0: 27515440 像素点
    类别 1.0: 2172179 像素点
    类别 2.0: 2898483 像素点
    类别 3.0: 881144 像素点
    类别 5.0: 7348403 像素点
    类别 6.0: 50923 像素点
    类别 7.0: 2022341 像素点
    类别 8.0: 174778 像素点
    类别 9.0: 181833 像素点
    类别 10.0: 8236 像素点
文件夹 DYJK015 的像素统计结果：
    类别 0.0: 23332272 像素点
    类别 1.0: 2361391 像素点
    类别 2.0: 3322821 像素点
    类别 3.0: 1039869 像素点
    类别 5.0: 9374754 像素点
    类别 6.0: 66962 像素点
    类别 7.0: 1905849 像素点
    类别 8.0: 343371 像素点
    类别 9.0: 184996 像素点
    类别 10.0: 10755 像素点
文件夹 DYJK016 的像素统计结果：
    类别 0.0: 24047406 像素点
    类别 1.0: 2405278 像素点
    类别 2.0: 3159476 像素点
    类别 3.0: 1220407 像素点
    类别 5.0: 8168765 像素点
    类别 6.0: 47731 像素点
    类别 7.0: 2299700 像素点
    类别 8.0: 379838 像素点
    类别 9.0: 204581 像素点
    类别 10.0: 9858 像素点
文件夹 DYJK017 的像素统计结果：
    类别 0.0: 28244717 像素点
    类别 1.0: 1981867 像素点
    类别 2.0: 2753167 像素点
    类别 3.0: 1086413 像素点
    类别 5.0: 9208406 像素点
    类别 6.0: 62058 像素点
    类别 7.0: 1650269 像素点
    类别 8.0: 695976 像素点
    类别 9.0: 180976 像素点
    类别 10.0: 11351 像素点
文件夹 DYJK018 的像素统计结果：
    类别 0.0: 23636235 像素点
    类别 1.0: 2548916 像素点
    类别 2.0: 3142084 像素点
    类别 3.0: 1227752 像素点
    类别 5.0: 8483579 像素点
    类别 6.0: 55732 像素点
    类别 7.0: 2148078 像素点
    类别 8.0: 506948 像素点
    类别 9.0: 185774 像素点
    类别 10.0: 7942 像素点
文件夹 DYJK019 的像素统计结果：
    类别 0.0: 25251192 像素点
    类别 1.0: 2863965 像素点
    类别 2.0: 3406847 像素点
    类别 3.0: 1618752 像素点
    类别 5.0: 9007580 像素点
    类别 6.0: 51844 像素点
    类别 7.0: 2738815 像素点
    类别 8.0: 698836 像素点
    类别 9.0: 225151 像素点
    类别 10.0: 12218 像素点
文件夹 DYJK020 的像素统计结果：
    类别 0.0: 24872229 像素点
    类别 1.0: 2479266 像素点
    类别 2.0: 3121175 像素点
    类别 3.0: 1066453 像素点
    类别 5.0: 8129614 像素点
    类别 6.0: 54463 像素点
    类别 7.0: 1642685 像素点
    类别 8.0: 377157 像素点
    类别 9.0: 190694 像素点
    类别 10.0: 9304 像素点
文件夹 DYJK021 的像素统计结果：
    类别 0.0: 25007157 像素点
    类别 1.0: 2643540 像素点
    类别 2.0: 3422904 像素点
    类别 3.0: 885259 像素点
    类别 5.0: 7609232 像素点
    类别 6.0: 55648 像素点
    类别 7.0: 1831441 像素点
    类别 8.0: 296741 像素点
    类别 9.0: 183180 像素点
    类别 10.0: 7938 像素点
文件夹 DYJK022 的像素统计结果：
    类别 0.0: 23611536 像素点
    类别 1.0: 2277077 像素点
    类别 2.0: 2949748 像素点
    类别 3.0: 1290112 像素点
    类别 5.0: 7982015 像素点
    类别 6.0: 48185 像素点
    类别 7.0: 1901551 像素点
    类别 8.0: 381468 像素点
    类别 9.0: 181115 像素点
    类别 10.0: 9513 像素点
文件夹 DYJK023 的像素统计结果：
    类别 0.0: 27042544 像素点
    类别 1.0: 2243673 像素点
    类别 2.0: 2935607 像素点
    类别 3.0: 904666 像素点
    类别 5.0: 7751158 像素点
    类别 6.0: 69875 像素点
    类别 7.0: 1717675 像素点
    类别 8.0: 389576 像素点
    类别 9.0: 191713 像素点
    类别 10.0: 7273 像素点
文件夹 DYJK024 的像素统计结果：
    类别 0.0: 25682588 像素点
    类别 1.0: 2554852 像素点
    类别 2.0: 3547089 像素点
    类别 3.0: 1119919 像素点
    类别 5.0: 8863209 像素点
    类别 6.0: 57108 像素点
    类别 7.0: 2094012 像素点
    类别 8.0: 437233 像素点
    类别 9.0: 199866 像素点
    类别 10.0: 8604 像素点
文件夹 DYJK025 的像素统计结果：
    类别 0.0: 25120974 像素点
    类别 1.0: 2210379 像素点
    类别 2.0: 2811032 像素点
    类别 3.0: 903133 像素点
    类别 5.0: 8388163 像素点
    类别 6.0: 40539 像素点
    类别 7.0: 2011431 像素点
    类别 8.0: 277714 像素点
    类别 9.0: 171598 像素点
    类别 10.0: 8077 像素点
文件夹 DYJK026 的像素统计结果：
    类别 0.0: 25039515 像素点
    类别 1.0: 2278858 像素点
    类别 2.0: 2961136 像素点
    类别 3.0: 1203086 像素点
    类别 5.0: 7796731 像素点
    类别 6.0: 60791 像素点
    类别 7.0: 1932166 像素点
    类别 8.0: 472769 像素点
    类别 9.0: 188575 像素点
    类别 10.0: 9413 像素点
文件夹 DYJK027 的像素统计结果：
    类别 0.0: 27287610 像素点
    类别 1.0: 2169418 像素点
    类别 2.0: 2913978 像素点
    类别 3.0: 1174888 像素点
    类别 5.0: 8329780 像素点
    类别 6.0: 61767 像素点
    类别 7.0: 2027647 像素点
    类别 8.0: 413964 像素点
    类别 9.0: 177460 像素点
    类别 10.0: 7968 像素点
文件夹 DYJK028 的像素统计结果：
    类别 0.0: 22150176 像素点
    类别 1.0: 2162065 像素点
    类别 2.0: 2946522 像素点
    类别 3.0: 1394862 像素点
    类别 5.0: 8143216 像素点
    类别 6.0: 50304 像素点
    类别 7.0: 2027418 像素点
    类别 8.0: 239134 像素点
    类别 9.0: 198619 像素点
    类别 10.0: 9284 像素点
文件夹 DYJK029 的像素统计结果：
    类别 0.0: 23505400 像素点
    类别 1.0: 2462614 像素点
    类别 2.0: 3326549 像素点
    类别 3.0: 1066691 像素点
    类别 5.0: 8579572 像素点
    类别 6.0: 68926 像素点
    类别 7.0: 2200245 像素点
    类别 8.0: 524617 像素点
    类别 9.0: 198800 像素点
    类别 10.0: 9626 像素点
文件夹 DYJK030 的像素统计结果：
    类别 0.0: 25325935 像素点
    类别 1.0: 2218188 像素点
    类别 2.0: 3141910 像素点
    类别 3.0: 921413 像素点
    类别 5.0: 7916750 像素点
    类别 6.0: 57736 像素点
    类别 7.0: 1981771 像素点
    类别 8.0: 200682 像素点
    类别 9.0: 171297 像素点
    类别 10.0: 7358 像素点
文件夹 DYJK031 的像素统计结果：
    类别 0.0: 26573824 像素点
    类别 1.0: 2055395 像素点
    类别 2.0: 2784554 像素点
    类别 3.0: 986899 像素点
    类别 5.0: 6922145 像素点
    类别 6.0: 45191 像素点
    类别 7.0: 2216963 像素点
    类别 8.0: 179158 像素点
    类别 9.0: 171656 像素点
    类别 10.0: 7255 像素点
文件夹 DYJK032 的像素统计结果：
    类别 0.0: 24813611 像素点
    类别 1.0: 2238801 像素点
    类别 2.0: 2940018 像素点
    类别 3.0: 838065 像素点
    类别 5.0: 6505518 像素点
    类别 6.0: 50012 像素点
    类别 7.0: 1311699 像素点
    类别 8.0: 437742 像素点
    类别 9.0: 179023 像素点
    类别 10.0: 7111 像素点
文件夹 DYJK033 的像素统计结果：
    类别 0.0: 23910146 像素点
    类别 1.0: 2513974 像素点
    类别 2.0: 3631941 像素点
    类别 3.0: 891228 像素点
    类别 5.0: 8395589 像素点
    类别 6.0: 69183 像素点
    类别 7.0: 1791403 像素点
    类别 8.0: 515540 像素点
    类别 9.0: 217173 像素点
    类别 10.0: 6863 像素点
文件夹 DYJK034 的像素统计结果：
    类别 0.0: 25752120 像素点
    类别 1.0: 2331231 像素点
    类别 2.0: 3268541 像素点
    类别 3.0: 868983 像素点
    类别 5.0: 7464998 像素点
    类别 6.0: 52220 像素点
    类别 7.0: 1763923 像素点
    类别 8.0: 245156 像素点
    类别 9.0: 189723 像素点
    类别 10.0: 6145 像素点
文件夹 DYJK035 的像素统计结果：
    类别 0.0: 25397726 像素点
    类别 1.0: 2201077 像素点
    类别 2.0: 3013732 像素点
    类别 3.0: 908343 像素点
    类别 5.0: 8297908 像素点
    类别 6.0: 54502 像素点
    类别 7.0: 1652226 像素点
    类别 8.0: 241314 像素点
    类别 9.0: 167849 像素点
    类别 10.0: 8363 像素点
文件夹 DYJK036 的像素统计结果：
    类别 0.0: 28024347 像素点
    类别 1.0: 2241251 像素点
    类别 2.0: 3133097 像素点
    类别 3.0: 987012 像素点
    类别 5.0: 7836081 像素点
    类别 6.0: 46682 像素点
    类别 7.0: 1708117 像素点
    类别 8.0: 373567 像素点
    类别 9.0: 204652 像素点
    类别 10.0: 9674 像素点
文件夹 DYJK037 的像素统计结果：
    类别 0.0: 25675122 像素点
    类别 1.0: 2192798 像素点
    类别 2.0: 2987424 像素点
    类别 3.0: 854913 像素点
    类别 5.0: 7947339 像素点
    类别 6.0: 60137 像素点
    类别 7.0: 1786245 像素点
    类别 8.0: 237420 像素点
    类别 9.0: 193963 像素点
    类别 10.0: 7679 像素点
文件夹 DYJK038 的像素统计结果：
    类别 0.0: 26037579 像素点
    类别 1.0: 2298492 像素点
    类别 2.0: 3110674 像素点
    类别 3.0: 856560 像素点
    类别 5.0: 7221711 像素点
    类别 6.0: 48667 像素点
    类别 7.0: 1841959 像素点
    类别 8.0: 329796 像素点
    类别 9.0: 188762 像素点
    类别 10.0: 8840 像素点
文件夹 DYJK039 的像素统计结果：
    类别 0.0: 24020986 像素点
    类别 1.0: 2486886 像素点
    类别 2.0: 3065281 像素点
    类别 3.0: 1097480 像素点
    类别 5.0: 8480156 像素点
    类别 6.0: 60057 像素点
    类别 7.0: 2127805 像素点
    类别 8.0: 378748 像素点
    类别 9.0: 216747 像素点
    类别 10.0: 8894 像素点
文件夹 DYJK040 的像素统计结果：
    类别 0.0: 24873978 像素点
    类别 1.0: 2514780 像素点
    类别 2.0: 3226447 像素点
    类别 3.0: 1328863 像素点
    类别 5.0: 9584767 像素点
    类别 6.0: 59398 像素点
    类别 7.0: 2259109 像素点
    类别 8.0: 496387 像素点
    类别 9.0: 210328 像素点
    类别 10.0: 10423 像素点
文件夹 DYJK041 的像素统计结果：
    类别 0.0: 24806740 像素点
    类别 1.0: 2344163 像素点
    类别 2.0: 3211128 像素点
    类别 3.0: 980932 像素点
    类别 5.0: 7841304 像素点
    类别 6.0: 60351 像素点
    类别 7.0: 2242837 像素点
    类别 8.0: 250332 像素点
    类别 9.0: 197775 像素点
    类别 10.0: 7478 像素点
文件夹 DYJK042 的像素统计结果：
    类别 0.0: 23956376 像素点
    类别 1.0: 2462624 像素点
    类别 2.0: 3066437 像素点
    类别 3.0: 1169446 像素点
    类别 5.0: 8358709 像素点
    类别 6.0: 50068 像素点
    类别 7.0: 2383221 像素点
    类别 8.0: 291563 像素点
    类别 9.0: 196584 像素点
    类别 10.0: 8012 像素点
文件夹 DYJK043 的像素统计结果：
    类别 0.0: 23817667 像素点
    类别 1.0: 2084080 像素点
    类别 2.0: 2628557 像素点
    类别 3.0: 1199442 像素点
    类别 5.0: 9523922 像素点
    类别 6.0: 45414 像素点
    类别 7.0: 2069659 像素点
    类别 8.0: 395786 像素点
    类别 9.0: 170263 像素点
    类别 10.0: 8250 像素点
文件夹 DYJK044 的像素统计结果：
    类别 0.0: 24263105 像素点
    类别 1.0: 2374093 像素点
    类别 2.0: 3330565 像素点
    类别 3.0: 1031236 像素点
    类别 5.0: 10461123 像素点
    类别 6.0: 77533 像素点
    类别 7.0: 2260822 像素点
    类别 8.0: 537664 像素点
    类别 9.0: 217938 像素点
    类别 10.0: 10401 像素点
文件夹 DYJK045 的像素统计结果：
    类别 0.0: 24288542 像素点
    类别 1.0: 2306530 像素点
    类别 2.0: 3309680 像素点
    类别 3.0: 1035868 像素点
    类别 5.0: 8272067 像素点
    类别 6.0: 64146 像素点
    类别 7.0: 2024715 像素点
    类别 8.0: 444589 像素点
    类别 9.0: 187951 像素点
    类别 10.0: 8952 像素点
文件夹 DYJK046 的像素统计结果：
    类别 0.0: 25838099 像素点
    类别 1.0: 2430149 像素点
    类别 2.0: 3060985 像素点
    类别 3.0: 1154786 像素点
    类别 5.0: 9377006 像素点
    类别 6.0: 54032 像素点
    类别 7.0: 1996904 像素点
    类别 8.0: 431626 像素点
    类别 9.0: 211707 像素点
    类别 10.0: 9186 像素点
文件夹 DYJK047 的像素统计结果：
    类别 0.0: 22622021 像素点
    类别 1.0: 2348516 像素点
    类别 2.0: 2995425 像素点
    类别 3.0: 1047416 像素点
    类别 5.0: 9880035 像素点
    类别 6.0: 54610 像素点
    类别 7.0: 2397991 像素点
    类别 8.0: 387582 像素点
    类别 9.0: 201298 像素点
    类别 10.0: 8146 像素点
文件夹 DYJK048 的像素统计结果：
    类别 0.0: 24735488 像素点
    类别 1.0: 2164093 像素点
    类别 2.0: 2954122 像素点
    类别 3.0: 949693 像素点
    类别 5.0: 8656198 像素点
    类别 6.0: 65154 像素点
    类别 7.0: 1749290 像素点
    类别 8.0: 453134 像素点
    类别 9.0: 207171 像素点
    类别 10.0: 8697 像素点
文件夹 GZHU001 的像素统计结果：
    类别 0.0: 8847791 像素点
    类别 1.0: 504199 像素点
    类别 2.0: 632076 像素点
    类别 3.0: 246283 像素点
    类别 5.0: 1772046 像素点
    类别 6.0: 13251 像素点
    类别 7.0: 449828 像素点
    类别 8.0: 66561 像素点
    类别 9.0: 49090 像素点
    类别 10.0: 1787 像素点
文件夹 GZHU002 的像素统计结果：
    类别 0.0: 8422673 像素点
    类别 1.0: 575506 像素点
    类别 2.0: 711074 像素点
    类别 3.0: 199460 像素点
    类别 5.0: 2085536 像素点
    类别 6.0: 12292 像素点
    类别 7.0: 464654 像素点
    类别 8.0: 63101 像素点
    类别 9.0: 46375 像素点
    类别 10.0: 2241 像素点
文件夹 GZHU003 的像素统计结果：
    类别 0.0: 8704417 像素点
    类别 1.0: 576826 像素点
    类别 2.0: 653706 像素点
    类别 3.0: 180931 像素点
    类别 5.0: 1967460 像素点
    类别 6.0: 10601 像素点
    类别 7.0: 380647 像素点
    类别 8.0: 59327 像素点
    类别 9.0: 46946 像素点
    类别 10.0: 2051 像素点
文件夹 GZHU004 的像素统计结果：
    类别 0.0: 9178972 像素点
    类别 1.0: 486682 像素点
    类别 2.0: 640919 像素点
    类别 3.0: 163473 像素点
    类别 5.0: 1669455 像素点
    类别 6.0: 11275 像素点
    类别 7.0: 332908 像素点
    类别 8.0: 50729 像素点
    类别 9.0: 46699 像素点
    类别 10.0: 1800 像素点
文件夹 GZHU005 的像素统计结果：
    类别 0.0: 8042547 像素点
    类别 1.0: 575697 像素点
    类别 2.0: 772576 像素点
    类别 3.0: 205854 像素点
    类别 5.0: 2395819 像素点
    类别 6.0: 11794 像素点
    类别 7.0: 479187 像素点
    类别 8.0: 51683 像素点
    类别 9.0: 45583 像素点
    类别 10.0: 2172 像素点
文件夹 GZHU006 的像素统计结果：
    类别 0.0: 8630441 像素点
    类别 1.0: 487779 像素点
    类别 2.0: 619590 像素点
    类别 3.0: 182174 像素点
    类别 5.0: 2183258 像素点
    类别 6.0: 12995 像素点
    类别 7.0: 357589 像素点
    类别 8.0: 59777 像素点
    类别 9.0: 47534 像素点
    类别 10.0: 1775 像素点
文件夹 GZHU007 的像素统计结果：
    类别 0.0: 8401161 像素点
    类别 1.0: 541167 像素点
    类别 2.0: 704380 像素点
    类别 3.0: 221344 像素点
    类别 5.0: 2161214 像素点
    类别 6.0: 8916 像素点
    类别 7.0: 447367 像素点
    类别 8.0: 51089 像素点
    类别 9.0: 44625 像素点
    类别 10.0: 1649 像素点
文件夹 QJCQ001 的像素统计结果：
    类别 0.0: 26933158 像素点
    类别 1.0: 2487553 像素点
    类别 2.0: 3257011 像素点
    类别 3.0: 1275269 像素点
    类别 5.0: 10247724 像素点
    类别 6.0: 53783 像素点
    类别 7.0: 2121421 像素点
    类别 8.0: 613849 像素点
    类别 9.0: 186443 像素点
    类别 10.0: 9709 像素点
文件夹 QJCQ002 的像素统计结果：
    类别 0.0: 30104488 像素点
    类别 1.0: 1908768 像素点
    类别 2.0: 2670060 像素点
    类别 3.0: 887882 像素点
    类别 5.0: 7553837 像素点
    类别 6.0: 51281 像素点
    类别 7.0: 1407361 像素点
    类别 8.0: 333352 像素点
    类别 9.0: 163775 像素点
    类别 10.0: 7964 像素点
文件夹 QJCQ003 的像素统计结果：
    类别 0.0: 29389658 像素点
    类别 1.0: 1987827 像素点
    类别 2.0: 2776601 像素点
    类别 3.0: 1020643 像素点
    类别 5.0: 7909690 像素点
    类别 6.0: 49021 像素点
    类别 7.0: 1492672 像素点
    类别 8.0: 289458 像素点
    类别 9.0: 165151 像素点
    类别 10.0: 8047 像素点
文件夹 QJCQ004 的像素统计结果：
    类别 0.0: 26630573 像素点
    类别 1.0: 2514691 像素点
    类别 2.0: 3209139 像素点
    类别 3.0: 918099 像素点
    类别 5.0: 8338323 像素点
    类别 6.0: 51638 像素点
    类别 7.0: 1675152 像素点
    类别 8.0: 489732 像素点
    类别 9.0: 202076 像素点
    类别 10.0: 10769 像素点
文件夹 QJGZ001 的像素统计结果：
    类别 0.0: 7837271 像素点
    类别 1.0: 505336 像素点
    类别 2.0: 678986 像素点
    类别 3.0: 198624 像素点
    类别 5.0: 1872148 像素点
    类别 6.0: 12189 像素点
    类别 7.0: 300840 像素点
    类别 8.0: 80733 像素点
    类别 9.0: 46033 像素点
    类别 10.0: 2176 像素点
文件夹 QJGZ002 的像素统计结果：
    类别 0.0: 7457411 像素点
    类别 1.0: 538133 像素点
    类别 2.0: 698697 像素点
    类别 3.0: 210950 像素点
    类别 5.0: 2087866 像素点
    类别 6.0: 13495 像素点
    类别 7.0: 396782 像素点
    类别 8.0: 83993 像素点
    类别 9.0: 44861 像素点
    类别 10.0: 2148 像素点
文件夹 QJGZ003 的像素统计结果：
    类别 0.0: 7652545 像素点
    类别 1.0: 496699 像素点
    类别 2.0: 676528 像素点
    类别 3.0: 219449 像素点
    类别 5.0: 1973296 像素点
    类别 6.0: 11518 像素点
    类别 7.0: 329247 像素点
    类别 8.0: 125206 像素点
    类别 9.0: 47885 像素点
    类别 10.0: 1963 像素点
文件夹 QJGZ004 的像素统计结果：
    类别 0.0: 6803878 像素点
    类别 1.0: 565597 像素点
    类别 2.0: 760129 像素点
    类别 3.0: 303276 像素点
    类别 5.0: 2380669 像素点
    类别 6.0: 11208 像素点
    类别 7.0: 554540 像素点
    类别 8.0: 100858 像素点
    类别 9.0: 51106 像素点
    类别 10.0: 3075 像素点
文件夹 QJGZ005 的像素统计结果：
    类别 0.0: 6886585 像素点
    类别 1.0: 581913 像素点
    类别 2.0: 755110 像素点
    类别 3.0: 247900 像素点
    类别 5.0: 2382124 像素点
    类别 6.0: 11285 像素点
    类别 7.0: 493246 像素点
    类别 8.0: 119271 像素点
    类别 9.0: 54602 像素点
    类别 10.0: 2300 像素点
文件夹 QJGZ006 的像素统计结果：
    类别 0.0: 7259375 像素点
    类别 1.0: 704004 像素点
    类别 2.0: 903867 像素点
    类别 3.0: 280882 像素点
    类别 5.0: 2748292 像素点
    类别 6.0: 18723 像素点
    类别 7.0: 510765 像素点
    类别 8.0: 100428 像素点
    类别 9.0: 53786 像素点
    类别 10.0: 2790 像素点
文件夹 QJGZ007 的像素统计结果：
    类别 0.0: 7404436 像素点
    类别 1.0: 561278 像素点
    类别 2.0: 724700 像素点
    类别 3.0: 255721 像素点
